tiplabel,Family,Subfamily,CTmax,CTmin,TTrange
Cossidae_Cossinae,Cossidae,Cossinae,46.9,-5.8,52.7
Cossidae_Zeuzerinae,Cossidae,Zeuzerinae,48.9,7.9,41
Crambidae_Spilomelinae,Crambidae,Spilomelinae,47.3,-4.8,52.1
Drepanidae_Drepaninae,Drepanidae,Drepaninae,46.9,-5.2,52.1
Drepanidae_Thyatirinae,Drepanidae,Thyatirinae,48.4,-7.5,55.9
Erebidae_Arctiinae,Erebidae,Arctiinae,47.9,-5.5,53.4
Erebidae_Erebinae,Erebidae,Erebinae,48.1,-3.4,51.5
Erebidae_Herminiinae,Erebidae,Herminiinae,47.8,-3.6,51.4
Erebidae_Hypeninae,Erebidae,Hypeninae,47,-2.6,49.6
Erebidae_Lymantriinae,Erebidae,Lymantriinae,48.7,-5.1,53.8
Geometridae_Ennominae,Geometridae,Ennominae,49.8,-5.6,55.4
Geometridae_Geometrinae,Geometridae,Geometrinae,49.5,-6.5,56
Geometridae_Larentiinae,Geometridae,Larentiinae,48.6,-6.8,55.4
Geometridae_Sterrhinae,Geometridae,Sterrhinae,48.5,-5.8,54.3
Lasiocampidae_Lasiocampinae,Lasiocampidae,Lasiocampinae,46.9,-3.1,50
Limacodidae_Limacodinae,Limacodidae,Limacodinae,47.9,-3.5,51.4
Noctuidae_Agaristinae,Noctuidae,Agaristinae,47.2,-1.4,48.6
Noctuidae_Cuculliinae,Noctuidae,Cuculliinae,45.9,-2.8,48.7
Noctuidae_Noctuinae,Noctuidae,Noctuinae,49.1,-6.5,55.6
Noctuidae_Pantheinae,Noctuidae,Pantheinae,47.7,-1.4,49.1
Noctuidae_Plusiinae,Noctuidae,Plusiinae,46.2,-4.6,50.8
Notodontidae_Notodontinae,Notodontidae,Notodontinae,46.9,-4,50.9
Notodontidae_Phalerinae,Notodontidae,Phalerinae,46.7,-2.2,48.9
Notodontidae_Pygaerinae,Notodontidae,Pygaerinae,48.2,-3.2,51.4
Pyralidae_Epipaschiinae,Pyralidae,Epipaschiinae,48.2,-1.9,50.1
Pyralidae_Pyralinae,Pyralidae,Pyralinae,48.5,-3.8,52.3
Sphingidae_Macroglossinae,Sphingidae,Macroglossinae,48.1,3.1,45
Uraniidae_Epipleminae,Uraniidae,Epipleminae,45.5,-5.4,50.9